codigo_comunidad_producto,color_comunidad_producto,nombre_comunidad_producto
01,#74c0e2,Productos Animales
05,#bcd8af,Productos Minerales
07,#ede788,Plásticos y Gomas
10,#d05555,Artículos de Papel
15,#a17cb0,Metales
16,#d1a1bc,Maquinaria
17,#a1aafb,Transporte
18,#5c57d9,Instrumentos
02,#406662,Productos Vegetales
03,#549e95,Productos de Composición Vegetal y Animal
04,#8abdb6,Alimentos
06,#a8c380,Productos Químicos
09,#dc8e7a,Productos de Madera
11,#bf3251,Textiles
12,#872a41,Calzado y Gorras
13,#993f7b,Piedras y Cristales
20,#4d6fd0,Miscelánea
22,#635b56,Sin Especificar
08,#d6c650,Pieles de Animales
14,#7454a6,Metales Preciosos
21,#7485aa,Arte y Antiguedades
19,#1c26b3,Armas
